epoch val_recall@30_x19
5 0.023485
10 0.023101
15 0.023145
20 0.023096
25 0.023004
30 0.022982
35 0.022973
40 0.023317
45 0.023118
50 0.023034
55 0.022968
60 0.023074
65 0.023004
70 0.023114
75 0.022778
80 0.023087
85 0.022893
90 0.022929
95 0.022703
100 0.023004
105 0.022699
110 0.022690
115 0.022725
120 0.022827
125 0.022787
130 0.022699
